City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
454,Kuala Terengganu,MY,79.77,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
455,Trojes,AL,82.56,clear sky,41.756,19.962,Sofra e Kthellës
456,Talen,IN,79.18,overcast clouds,23.5667,76.7167,होटल आनंद पैलेस
457,Isangel,VU,75.83,light rain,-19.55,169.2667,Tanna Lodge
458,Miandrivazo,MG,72.23,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
459,Lahijan,IR,80.37,clear sky,37.2061,50.0029,Abrishami Hotel
461,Puri,IN,84.72,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
462,Aksu,CN,80.62,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
463,Chumphon,TH,72.75,overcast clouds,10.3333,98.8333,สกาน จ๋า.
465,Santa Maria,BR,70.9,overcast clouds,-29.6842,-53.8069,Hotel Morotin
468,Binika,IN,84.85,heavy intensity rain,21.0333,83.8,DISASTER ACCOMMODATION
469,Mayumba,GA,72.61,scattered clouds,-3.432,10.6554,LIKWALE LODGE
470,Katra,IN,76.23,clear sky,32.9833,74.95,KC Residency Katra (4 Star) Experience the Luxuries of a 5 Star
471,Wanning,CN,82.4,overcast clouds,18.8003,110.3967,Paradise Hotel
474,Road Town,VG,89.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
480,Iwaki,JP,79.77,broken clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
481,Maryville,US,86.27,overcast clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
483,Kropotkin,RU,74.43,scattered clouds,45.4375,40.5756,Hotel Europe Kropotkin
484,Makokou,GA,79.93,broken clouds,0.5738,12.8642,Hôtel
485,Tomatlan,MX,89.49,broken clouds,19.9333,-105.25,El Salvial
487,Palafrugell,ES,92.44,clear sky,41.9174,3.1631,Hotel La Torre
488,Les Cayes,HT,91.06,few clouds,18.2,-73.75,Villa Orphee
489,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
491,Bartica,GY,86.32,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
494,Am Timan,TD,74.64,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
495,Ahome,MX,85.95,overcast clouds,25.9167,-109.1833,La quinta del diablo
496,Butterworth,MY,78.84,scattered clouds,5.3991,100.3638,Cititel Penang
497,Sur,OM,90.39,clear sky,22.5667,59.5289,Sur Plaza Hotel
500,Hami,CN,79.07,overcast clouds,42.8,93.45,Laoyutang Resort
501,Wanlaweyn,SO,76.48,scattered clouds,2.6185,44.8938,GAASHAAN HOME
502,San Jose,US,85.59,broken clouds,37.3394,-121.895,The Westin San Jose
503,Cockburn Town,TC,82.44,few clouds,21.4612,-71.1419,Osprey Beach Hotel
506,Ankang,CN,77.16,broken clouds,32.68,109.0172,安琪酒店
507,Meulaboh,ID,74.17,overcast clouds,4.1363,96.1285,Kost Pria
511,Forestville,US,91.47,broken clouds,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
513,Muros,ES,92.68,few clouds,42.7762,-9.0603,Apartment Av. Castelao
514,Najran,SA,73.4,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
515,Bridlington,GB,80.89,broken clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
523,Zhanaozen,KZ,89.17,few clouds,43.3,52.8,K.korabay 28A
525,Manasa,IN,81.0,overcast clouds,24.4837,75.2687,Sameer patel
529,Kamaishi,JP,72.55,light rain,39.2667,141.8833,Hotel Route Inn Kamaishi
531,Ingham,US,80.19,scattered clouds,42.6,-84.3833,Sunset Mobile Home Park
532,Madang,PG,78.22,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
533,Kumta,IN,79.18,overcast clouds,14.4167,74.4,Hotel Vaibhav Palace
537,Bud,US,82.35,clear sky,39.447,-86.1758,Ted McQuinn Trust
538,Blackfoot,US,78.58,overcast clouds,43.1905,-112.345,Super 8 by Wyndham Blackfoot/Idaho Falls
540,Santa Lucia,ES,75.76,few clouds,27.9117,-15.5407,Las Tirajanas
544,Samarai,PG,80.01,scattered clouds,-10.6167,150.6667,Nuli Sapi
545,Puerto Del Rosario,ES,80.35,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
546,Griffith,US,84.88,clear sky,41.5284,-87.4237,Apartment above Depot Bar
548,Mason City,US,87.33,clear sky,43.1536,-93.201,Days Inn by Wyndham Mason City
550,Los Llanos De Aridane,ES,73.15,clear sky,28.6585,-17.9182,Valle Aridane
552,Ribas Do Rio Pardo,BR,92.91,clear sky,-20.4431,-53.7592,Pousada Avenida
553,Beatrice,US,89.69,clear sky,40.2681,-96.747,Victorian Inn Beatrice
555,Tautira,PF,76.55,few clouds,-17.7333,-149.15,Pension Oaoa
561,Plainview,US,89.8,clear sky,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
