City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Ballina,AU,2022-07-29 21:45:37,-28.8667,153.5667,50.02,79,33,11.59
104,Boffa,GN,2022-07-29 21:45:37,10.1667,-14.0333,76.5,85,97,4.99
105,Buchanan,LR,2022-07-29 21:45:38,5.8808,-10.0467,74.44,75,100,5.99
106,Lebu,CL,2022-07-29 21:45:38,-37.6167,-73.65,48.6,83,16,19.91
107,Cambridge,CA,2022-07-29 21:41:02,43.3601,-80.3127,81.82,40,75,18.41
108,Esna,EG,2022-07-29 21:45:39,25.2934,32.554,89.62,16,52,9.24
109,Nikolskoye,RU,2022-07-29 21:45:39,59.7035,30.7861,60.8,91,99,8.41
110,Aykhal,RU,2022-07-29 21:45:40,66.0,111.5,73.65,50,58,4.63
111,Broome,US,2022-07-29 21:45:40,42.2506,-75.833,84.88,47,20,6.91
112,Puerto Ayora,EC,2022-07-29 21:45:40,-0.7393,-90.3518,76.96,90,82,8.01
113,Port Lincoln,AU,2022-07-29 21:45:41,-34.7333,135.8667,56.3,42,88,19.64
114,Cidreira,BR,2022-07-29 21:45:41,-30.1811,-50.2056,54.57,72,94,14.94
115,Pilar,BR,2022-07-29 21:45:42,-9.5972,-35.9567,75.13,95,51,3.78
116,Kavaratti,IN,2022-07-29 21:45:42,10.5669,72.642,81.34,84,73,17.92
117,Arraial Do Cabo,BR,2022-07-29 21:45:43,-22.9661,-42.0278,66.06,88,100,21.85
118,Sandwich,US,2022-07-29 21:45:43,41.6459,-88.6217,79.81,47,20,12.66
119,Maldonado,UY,2022-07-29 21:45:44,-34.6667,-54.9167,48.22,79,0,5.61
120,Urumqi,CN,2022-07-29 21:45:44,43.801,87.6005,79.75,34,0,4.47
121,Mattru,SL,2022-07-29 21:45:45,7.6244,-11.8332,71.37,83,100,2.93
122,Nanortalik,GL,2022-07-29 21:45:45,60.1432,-45.2371,46.4,84,98,11.81
123,Indianola,US,2022-07-29 21:45:45,41.3581,-93.5574,82.99,48,100,8.88
124,Saint-Philippe,RE,2022-07-29 21:45:46,-21.3585,55.7679,65.79,77,34,11.61
